tau,w0,g,Phi
2.0,0.0,0.38,0.08390787560669988
2.0,0.0,0.57,0.05819417179174345
2.0,0.0,0.76,0.032480467976787046
2.0,0.0,0.95,0.0067667641618306415
2.0,0.198,0.0,0.20109054494340972
2.0,0.198,0.19,0.16288334140416189
2.0,0.198,0.38,0.12467613786491402
2.0,0.198,0.57,0.08646893432566617
2.0,0.198,0.76,0.04826173078641833
2.0,0.198,0.95,0.010054527247170495
2.0,0.396,0.0,0.29879427078110127
2.0,0.396,0.19,0.24202335933269203
2.0,0.396,0.38,0.18525244788428277
2.0,0.396,0.57,0.12848153643587354
2.0,0.396,0.76,0.0717106249874643
2.0,0.396,0.95,0.014939713539055077
2.0,0.594,0.0,0.4439692392137801
2.0,0.594,0.19,0.3596150837631619
2.0,0.594,0.38,0.2752609283125437
2.0,0.594,0.57,0.19090677286192542
2.0,0.594,0.76,0.10655261741130723
2.0,0.594,0.95,0.022198461960689024
2.0,0.792,0.0,0.6596802704843892
2.0,0.792,0.19,0.5343410190923552
2.0,0.792,0.38,0.40900176770032126
2.0,0.792,0.57,0.2836625163082873
2.0,0.792,0.76,0.1583232649162534
2.0,0.792,0.95,0.03298401352421949
2.0,0.99,0.0,0.9801986733067553
2.0,0.99,0.19,0.7939609253784718
2.0,0.99,0.38,0.6077231774501882
2.0,0.99,0.57,0.4214854295219047
2.0,0.99,0.76,0.23524768159362125
2.0,0.99,0.95,0.049009933665337804
5.0,0.0,0.0,0.006737946999085467
5.0,0.0,0.19,0.005457737069259228
5.0,0.0,0.38,0.00417752713943299
5.0,0.0,0.57,0.0028973172096067503
5.0,0.0,0.76,0.001617107279780512
5.0,0.0,0.95,0.00033689734995427363
5.0,0.198,0.0,0.018133395236801075
5.0,0.198,0.19,0.014688050141808871
5.0,0.198,0.38,0.011242705046816667
5.0,0.198,0.57,0.0077973599518244615
5.0,0.198,0.76,0.004352014856832258
5.0,0.198,0.95,0.0009066697618400546
5.0,0.396,0.0,0.04880121836201296
5.0,0.396,0.19,0.039528986873230504
5.0,0.396,0.38,0.030256755384448036
5.0,0.396,0.57,0.02098452389566557
5.0,0.396,0.76,0.01171229240688311
5.0,0.396,0.95,0.00244006091810065
5.0,0.594,0.0,0.13133552114849317
5.0,0.594,0.19,0.10638177213027948
5.0,0.594,0.38,0.08142802311206576
5.0,0.594,0.57,0.056474274093852056
5.0,0.594,0.76,0.03152052507563836
5.0,0.594,0.95,0.006566776057424665
5.0,0.792,0.0,0.3534546819587802
5.0,0.792,0.19,0.286298292386612
5.0,0.792,0.38,0.21914190281444373
5.0,0.792,0.57,0.15198551324227547
5.0,0.792,0.76,0.08482912367010725
5.0,0.792,0.95,0.017672734097939027
5.0,0.99,0.0,0.951229424500714
5.0,0.99,0.19,0.7704958338455784
5.0,0.99,0.38,0.5897622431904427
5.0,0.99,0.57,0.40902865253530696
5.0,0.99,0.76,0.22829506188017135
5.0,0.99,0.95,0.04756147122503574
10.0,0.0,0.0,4.5399929762484854e-05
10.0,0.0,0.19,3.677394310761273e-05
10.0,0.0,0.38,2.814795645274061e-05
10.0,0.0,0.57,1.9521969797868484e-05
10.0,0.0,0.76,1.0895983142996365e-05
10.0,0.0,0.95,2.2699964881242447e-06
10.0,0.198,0.0,0.00032882002281403995
10.0,0.198,0.19,0.00026634421847937235
10.0,0.198,0.38,0.00020386841414470476
10.0,0.198,0.57,0.00014139260981003716
10.0,0.198,0.76,7.891680547536959e-05
10.0,0.198,0.95,1.6441001140702012e-05
10.0,0.396,0.0,0.0023815589136168707
10.0,0.396,0.19,0.0019290627200296655
10.0,0.396,0.38,0.0014765665264424598
10.0,0.396,0.57,0.0010240703328552542
10.0,0.396,0.76,0.000571574139268049
10.0,0.396,0.95,0.00011907794568084364
10.0,0.594,0.0,0.017249019115346296
10.0,0.594,0.19,0.013971705483430501
10.0,0.594,0.38,0.010694391851514704
10.0,0.594,0.57,0.0074170782195989065
10.0,0.594,0.76,0.004139764587683111
10.0,0.594,0.95,0.0008624509557673155
10.0,0.792,0.0,0.12493021219858247
10.0,0.792,0.19,0.1011934718808518
10.0,0.792,0.38,0.07745673156312113
10.0,0.792,0.57,0.05371999124539045
10.0,0.792,0.76,0.029983250927659792
10.0,0.792,0.95,0.006246510609929129
10.0,0.99,0.0,0.9048374180359595
10.0,0.99,0.19,0.7329183086091272
10.0,0.99,0.38,0.5609991991822949
10.0,0.99,0.57,0.38908008975546254
10.0,0.99,0.76,0.21716098032863027
10.0,0.99,0.95,0.045241870901798015
