T_M,s,Q_pr
2900.0,0.002511886431509582,0.999999999999993
2900.0,0.006309573444801942,0.9999999999999998
2900.0,0.01584893192461114,1.0
2900.0,0.039810717055349776,1.0
2900.0,0.1,1.0
3200.0,1e-07,0.1572567073309316
3200.0,2.511886431509582e-07,0.6117596670849591
3200.0,6.30957344480193e-07,0.9227859514491421
3200.0,1.584893192461114e-06,0.9913518603070327
3200.0,3.981071705534969e-06,0.9993867111705946
3200.0,9.999999999999999e-06,0.9999793862919839
3200.0,2.5118864315095822e-05,0.9999994745306191
3200.0,6.309573444801943e-05,0.9999999867942768
3200.0,0.00015848931924611142,0.9999999996682808
3200.0,0.0003981071705534973,0.9999999999916677
3200.0,0.001,0.9999999999997907
3200.0,0.002511886431509582,0.9999999999999948
3200.0,0.006309573444801942,0.9999999999999999
3200.0,0.01584893192461114,1.0
3200.0,0.039810717055349776,1.0
3200.0,0.1,1.0
3500.0,1e-07,0.18091736475636616
3500.0,2.511886431509582e-07,0.6518400815294869
3500.0,6.30957344480193e-07,0.9353545800252412
3500.0,1.584893192461114e-06,0.993027392627941
3500.0,3.981071705534969e-06,0.9995137912660392
3500.0,9.999999999999999e-06,0.9999837124610231
3500.0,2.5118864315095822e-05,0.9999995848740356
3500.0,6.309573444801943e-05,0.9999999895674022
3500.0,0.00015848931924611142,0.9999999997379396
3500.0,0.0003981071705534973,0.9999999999934173
3500.0,0.001,0.9999999999998345
3500.0,0.002511886431509582,0.9999999999999959
3500.0,0.006309573444801942,0.9999999999999998
3500.0,0.01584893192461114,1.0
3500.0,0.039810717055349776,1.0
3500.0,0.1,1.0
3800.0,1e-07,0.20308747180846284
3800.0,2.511886431509582e-07,0.6853624131487752
3800.0,6.30957344480193e-07,0.9449863768864698
3800.0,1.584893192461114e-06,0.994255992395598
3800.0,3.981071705534969e-06,0.9996052307757946
3800.0,9.999999999999999e-06,0.9999868138319985
3800.0,2.5118864315095822e-05,0.9999996639643551
3800.0,6.309573444801943e-05,0.9999999915550714
3800.0,0.00015848931924611142,0.9999999997878688
3800.0,0.0003981071705534973,0.9999999999946715
3800.0,0.001,0.9999999999998661
3800.0,0.002511886431509582,0.9999999999999964
3800.0,0.006309573444801942,0.9999999999999999
3800.0,0.01584893192461114,1.0
3800.0,0.039810717055349776,1.0
3800.0,0.1,1.0
4100.0,1e-07,0.22349042241562206
4100.0,2.511886431509582e-07,0.7133935914755711
4100.0,6.30957344480193e-07,0.9524719188689652
4100.0,1.584893192461114e-06,0.9951761520119133
4100.0,3.981071705534969e-06,0.9996726337900474
4100.0,9.999999999999999e-06,0.9999890928206487
4100.0,2.5118864315095822e-05,0.9999997220742062
4100.0,6.309573444801943e-05,0.9999999930154595
4100.0,0.00015848931924611142,0.9999999998245529
4100.0,0.0003981071705534973,0.9999999999955929
4100.0,0.001,0.9999999999998893
4100.0,0.002511886431509582,0.9999999999999972
4100.0,0.006309573444801942,1.0
4100.0,0.01584893192461114,1.0
4100.0,0.039810717055349776,1.0
4100.0,0.1,1.0
4400.0,1e-07,0.24204736363491097
4400.0,2.511886431509582e-07,0.7368915804630628
4400.0,6.30957344480193e-07,0.958369884997126
4400.0,1.584893192461114e-06,0.9958787643013184
4400.0,3.981071705534969e-06,0.9997234083852844
4400.0,9.999999999999999e-06,0.9999908050022558
4400.0,2.5118864315095822e-05,0.9999997657262313
4400.0,6.309573444801943e-05,0.9999999941124964
4400.0,0.00015848931924611142,0.9999999998521095
4400.0,0.0003981071705534973,0.999999999996285
4400.0,0.001,0.9999999999999066
4400.0,0.002511886431509582,0.9999999999999977
4400.0,0.006309573444801942,1.0
4400.0,0.01584893192461114,1.0
4400.0,0.039810717055349776,1.0
4400.0,0.1,1.0
4700.0,1e-07,0.25880374702854825
4700.0,2.511886431509582e-07,0.7566742352752845
4700.0,6.30957344480193e-07,0.9630790194261333
4700.0,1.584893192461114e-06,0.9964248633631049
4700.0,3.981071705534969e-06,0.9997624147259281
4700.0,9.999999999999999e-06,0.9999921173163897
4700.0,2.5118864315095822e-05,0.9999997991801176
4700.0,6.309573444801943e-05,0.9999999949532369
4700.0,0.00015848931924611142,0.9999999998732289
4700.0,0.0003981071705534973,0.9999999999968158
4700.0,0.001,0.9999999999999201
4700.0,0.002511886431509582,0.9999999999999979
4700.0,0.006309573444801942,0.9999999999999999
