temperature_K,axis,wavelength_um,n,k
100,a,1.89,1.6526,0.0
100,a,1.9,1.6525,0.0
100,a,1.91,1.6523,0.0
100,a,1.92,1.6522,0.0
100,a,1.93,1.6521,0.0
100,a,1.94,1.652,0.0
100,a,1.95,1.6518,0.0
100,a,1.96,1.6517,0.0
100,a,1.97,1.6516,0.0
100,a,1.98,1.6514,0.0
100,a,1.99,1.6513,0.0
100,a,2.0,1.6512,0.0
100,a,2.01,1.651,0.0
100,a,2.02,1.6509,0.0
100,a,2.03,1.6508,0.0
100,a,2.04,1.6506,0.0
100,a,2.05,1.6505,0.0
100,a,2.06,1.6503,0.0
100,a,2.07,1.6502,0.0
100,a,2.08,1.6501,0.0
100,a,2.09,1.6499,0.0
100,a,2.1,1.6498,0.0
100,a,2.11,1.6496,0.0
100,a,2.12,1.6495,0.0
100,a,2.13,1.6493,0.0
100,a,2.14,1.6492,0.0
100,a,2.15,1.649,0.0
100,a,2.16,1.6489,0.0
100,a,2.17,1.6488,0.0
100,a,2.18,1.6486,0.0
100,a,2.19,1.6485,0.0
100,a,2.2,1.6483,0.0
100,a,2.21,1.6482,0.0
100,a,2.22,1.648,0.0
100,a,2.23,1.6479,0.0
100,a,2.24,1.6477,0.0
100,a,2.25,1.6475,0.0
100,a,2.26,1.6474,0.0
100,a,2.27,1.6472,0.0
100,a,2.28,1.6471,0.0
100,a,2.29,1.6469,0.0
100,a,2.3,1.6468,0.0
100,a,2.31,1.6466,0.0
100,a,2.32,1.6464,0.0
100,a,2.33,1.6463,0.0
100,a,2.34,1.6461,0.0
100,a,2.35,1.646,0.0
100,a,2.36,1.6458,0.0
100,a,2.37,1.6456,0.0
100,a,2.38,1.6455,0.0
100,a,2.39,1.6453,0.0
100,a,2.4,1.6451,0.0
100,a,2.41,1.645,0.0
100,a,2.42,1.6448,0.0
100,a,2.43,1.6446,0.0
100,a,2.44,1.6445,0.0
100,a,2.45,1.6443,0.0
100,a,2.46,1.6441,0.0
100,a,2.47,1.644,0.0
100,a,2.48,1.6438,0.0
100,a,2.49,1.6436,0.0
100,a,2.5,1.6434,0.0
100,a,2.51,1.6433,0.0
100,a,2.52,1.6431,0.0
100,a,2.53,1.6429,0.0
100,a,2.54,1.6427,0.0
100,a,2.55,1.6426,0.0
100,a,2.56,1.6424,0.0
100,a,2.57,1.6422,0.0
100,a,2.58,1.642,0.0
100,a,2.59,1.6418,0.0
100,a,2.6,1.6417,0.0
100,a,2.61,1.6415,0.0
100,a,2.62,1.6413,0.0
100,a,2.63,1.6411,0.0
100,a,2.64,1.6409,0.0
100,a,2.65,1.6407,0.0
100,a,2.66,1.6406,0.0
100,a,2.67,1.6404,0.0
100,a,2.68,1.6402,0.0
100,a,2.69,1.64,0.0
100,a,2.7,1.6398,0.0
100,a,2.71,1.6396,0.0
100,a,2.72,1.6394,0.0
100,a,2.73,1.6392,0.0
100,a,2.74,1.639,0.0
100,a,2.75,1.6388,0.0
100,a,2.76,1.6386,0.0
100,a,2.77,1.6384,0.0
100,a,2.78,1.6382,0.0
100,a,2.79,1.638,0.0
100,a,2.8,1.6378,0.0
100,a,2.81,1.6376,0.0
100,a,2.82,1.6374,0.0
100,a,2.83,1.6372,0.0
100,a,2.84,1.637,0.0
100,a,2.85,1.6368,0.0
100,a,2.86,1.6366,0.0
100,a,2.87,1.6364,0.0
100,a,2.88,1.6362,0.0
100,a,2.89,1.636,0.0
100,a,2.9,1.6358,0.0
100,a,2.91,1.6356,0.0
100,a,2.92,1.6354,0.0
100,a,2.93,1.6352,0.0
100,a,2.94,1.635,0.0
100,a,2.95,1.6348,0.0
100,a,2.96,1.6345,0.0
100,a,2.97,1.6343,0.0
100,a,2.98,1.6341,0.0
100,a,2.99,1.6339,0.0
100,a,3.0,1.6337,0.0
100,a,3.01,1.6335,0.0
100,a,3.02,1.6332,0.0
100,a,3.03,1.633,0.0
100,a,3.04,1.6328,0.0
100,a,3.05,1.6326,0.0
100,a,3.06,1.6324,0.0
100,a,3.07,1.6321,0.0
100,a,3.08,1.6319,0.0
100,a,3.09,1.6317,0.0
100,a,3.1,1.6315,0.0
100,a,3.11,1.6312,0.0
100,a,3.12,1.631,0.0
100,a,3.13,1.6308,0.0
100,a,3.14,1.6306,1.0091806e-07
100,a,3.15,1.6303,1.8264259e-07
100,a,3.16,1.6301,1.9425808e-07
100,a,3.17,1.6299,2.4439547e-07
100,a,3.18,1.6296,3.6578356e-07
100,a,3.19,1.6294,4.0381864e-07
100,a,3.2,1.6292,5.739059e-07
100,a,3.21,1.6289,7.1386181e-07
100,a,3.22,1.6287,9.0222613e-07
100,a,3.23,1.6284,1.2164923e-06
100,a,3.24,1.6282,1.4948571e-06
100,a,3.25,1.628,2.0057433e-06
100,a,3.26,1.6277,2.6015147e-06
100,a,3.27,1.6275,3.3375417e-06
100,a,3.28,1.6272,4.4224782e-06
100,a,3.29,1.627,5.6821818e-06
100,a,3.3,1.6268,7.4311534e-06
100,a,3.31,1.6265,9.497322e-06
100,a,3.32,1.6263,1.126354e-05
100,a,3.33,1.626,1.2961873e-05
100,a,3.34,1.6258,1.4219586e-05
100,a,3.35,1.6255,1.4459039e-05
100,a,3.36,1.6253,1.3754878e-05
100,a,3.37,1.625,1.2647993e-05
100,a,3.38,1.6248,1.1768765e-05
100,a,3.39,1.6245,1.1157308e-05
100,a,3.4,1.6242,1.062269e-05
100,a,3.41,1.624,1.0430739e-05
100,a,3.42,1.6237,1.0476515e-05
100,a,3.43,1.6235,1.0687433e-05
100,a,3.44,1.6232,1.1239173e-05
100,a,3.45,1.623,1.1718201e-05
100,a,3.46,1.6227,1.181558e-05
100,a,3.47,1.6224,1.1787493e-05
100,a,3.48,1.6222,1.1603226e-05
100,a,3.49,1.6219,1.1437893e-05
100,a,3.5,1.6216,1.1605559e-05
100,a,3.51,1.6214,1.1903401e-05
100,a,3.52,1.6211,1.215675e-05
100,a,3.53,1.6208,1.2231163e-05
100,a,3.54,1.6206,1.1948342e-05
