time_day,T_K
7.5,2097.623384509489
7.541666666666667,2097.610211118211
7.583333333333333,2097.5970380578497
7.625,2097.5838653283918
7.666666666666667,2097.5706929298217
7.708333333333333,2097.5575208621253
7.75,2097.5443491252886
7.791666666666667,2097.531177719296
7.833333333333333,2097.5180066441335
7.875,2097.5048358997865
7.916666666666667,2097.4916654862404
7.958333333333333,2097.478495403481
8.0,2097.465325651493
8.041666666666666,2097.4521562302625
8.083333333333334,2097.438987139775
8.125,2097.4258183800152
8.166666666666666,2097.41264995097
8.208333333333334,2097.3994818526235
8.25,2097.3863140849617
8.291666666666666,2097.37314664797
8.333333333333334,2097.359979541634
8.375,2097.346812765939
8.416666666666666,2097.3336463208702
8.458333333333334,2097.320480206414
8.5,2097.307314422555
8.541666666666666,2097.294148969279
