time,mass_initial,mass_remaining,mass_lost,mass_diff,error_percent,tolerance_percent,mass_loss_rp_mars,mass_loss_hydro_drag,mass_loss_surface_solid_marsRP
36960261.120000005,1e-05,1e-05,0.0,0.0,0.0,0.5,0.0,0.0,0.0
36972884.160000004,1e-05,1e-05,0.0,0.0,0.0,0.5,0.0,0.0,0.0
36985507.2,1e-05,1e-05,0.0,0.0,0.0,0.5,0.0,0.0,0.0
36998130.24,1e-05,1e-05,0.0,0.0,0.0,0.5,0.0,0.0,0.0
37010753.28,1e-05,1e-05,0.0,0.0,0.0,0.5,0.0,0.0,0.0
37023376.32,1e-05,1e-05,0.0,0.0,0.0,0.5,0.0,0.0,0.0
37035999.36,1e-05,1e-05,0.0,0.0,0.0,0.5,0.0,0.0,0.0
37048622.4,1e-05,1e-05,0.0,0.0,0.0,0.5,0.0,0.0,0.0
37061245.440000005,1e-05,1e-05,0.0,0.0,0.0,0.5,0.0,0.0,0.0
37073868.480000004,1e-05,1e-05,0.0,0.0,0.0,0.5,0.0,0.0,0.0
37086491.52,1e-05,1e-05,0.0,0.0,0.0,0.5,0.0,0.0,0.0
37099114.56,1e-05,1e-05,0.0,0.0,0.0,0.5,0.0,0.0,0.0
37111737.6,1e-05,1e-05,0.0,0.0,0.0,0.5,0.0,0.0,0.0
37124360.64,1e-05,1e-05,0.0,0.0,0.0,0.5,0.0,0.0,0.0
37136983.68,1e-05,1e-05,0.0,0.0,0.0,0.5,0.0,0.0,0.0
37149606.72,1e-05,1e-05,0.0,0.0,0.0,0.5,0.0,0.0,0.0
37162229.760000005,1e-05,1e-05,0.0,0.0,0.0,0.5,0.0,0.0,0.0
37174852.800000004,1e-05,1e-05,0.0,0.0,0.0,0.5,0.0,0.0,0.0
37187475.84,1e-05,1e-05,0.0,0.0,0.0,0.5,0.0,0.0,0.0
37200098.88,1e-05,1e-05,0.0,0.0,0.0,0.5,0.0,0.0,0.0
37212721.92,1e-05,1e-05,0.0,0.0,0.0,0.5,0.0,0.0,0.0
37225344.96,1e-05,1e-05,0.0,0.0,0.0,0.5,0.0,0.0,0.0
37237968.0,1e-05,1e-05,0.0,0.0,0.0,0.5,0.0,0.0,0.0
37250591.04,1e-05,1e-05,0.0,0.0,0.0,0.5,0.0,0.0,0.0
37263214.08,1e-05,1e-05,0.0,0.0,0.0,0.5,0.0,0.0,0.0
37275837.120000005,1e-05,1e-05,0.0,0.0,0.0,0.5,0.0,0.0,0.0
37288460.160000004,1e-05,1e-05,0.0,0.0,0.0,0.5,0.0,0.0,0.0
37301083.2,1e-05,1e-05,0.0,0.0,0.0,0.5,0.0,0.0,0.0
37313706.24,1e-05,1e-05,0.0,0.0,0.0,0.5,0.0,0.0,0.0
37326329.28,1e-05,1e-05,0.0,0.0,0.0,0.5,0.0,0.0,0.0
37338952.32,1e-05,1e-05,0.0,0.0,0.0,0.5,0.0,0.0,0.0
37351575.36,1e-05,1e-05,0.0,0.0,0.0,0.5,0.0,0.0,0.0
37364198.4,1e-05,1e-05,0.0,0.0,0.0,0.5,0.0,0.0,0.0
37376821.440000005,1e-05,1e-05,0.0,0.0,0.0,0.5,0.0,0.0,0.0
37389444.480000004,1e-05,1e-05,0.0,0.0,0.0,0.5,0.0,0.0,0.0
37402067.52,1e-05,1e-05,0.0,0.0,0.0,0.5,0.0,0.0,0.0
37414690.56,1e-05,1e-05,0.0,0.0,0.0,0.5,0.0,0.0,0.0
37427313.6,1e-05,1e-05,0.0,0.0,0.0,0.5,0.0,0.0,0.0
37439936.64,1e-05,1e-05,0.0,0.0,0.0,0.5,0.0,0.0,0.0
37452559.68,1e-05,1e-05,0.0,0.0,0.0,0.5,0.0,0.0,0.0
37465182.72,1e-05,1e-05,0.0,0.0,0.0,0.5,0.0,0.0,0.0
37477805.760000005,1e-05,1e-05,0.0,0.0,0.0,0.5,0.0,0.0,0.0
37490428.800000004,1e-05,1e-05,0.0,0.0,0.0,0.5,0.0,0.0,0.0
37503051.84,1e-05,1e-05,0.0,0.0,0.0,0.5,0.0,0.0,0.0
37515674.88,1e-05,1e-05,0.0,0.0,0.0,0.5,0.0,0.0,0.0
37528297.92,1e-05,1e-05,0.0,0.0,0.0,0.5,0.0,0.0,0.0
37540920.96,1e-05,1e-05,0.0,0.0,0.0,0.5,0.0,0.0,0.0
37553544.0,1e-05,1e-05,0.0,0.0,0.0,0.5,0.0,0.0,0.0
37566167.04,1e-05,1e-05,0.0,0.0,0.0,0.5,0.0,0.0,0.0
37578790.08,1e-05,1e-05,0.0,0.0,0.0,0.5,0.0,0.0,0.0
37591413.120000005,1e-05,1e-05,0.0,0.0,0.0,0.5,0.0,0.0,0.0
37604036.160000004,1e-05,1e-05,0.0,0.0,0.0,0.5,0.0,0.0,0.0
37616659.2,1e-05,1e-05,0.0,0.0,0.0,0.5,0.0,0.0,0.0
37629282.24,1e-05,1e-05,0.0,0.0,0.0,0.5,0.0,0.0,0.0
37641905.28,1e-05,1e-05,0.0,0.0,0.0,0.5,0.0,0.0,0.0
37654528.32,1e-05,1e-05,0.0,0.0,0.0,0.5,0.0,0.0,0.0
37667151.36,1e-05,1e-05,0.0,0.0,0.0,0.5,0.0,0.0,0.0
37679774.4,1e-05,1e-05,0.0,0.0,0.0,0.5,0.0,0.0,0.0
37692397.440000005,1e-05,1e-05,0.0,0.0,0.0,0.5,0.0,0.0,0.0
37705020.480000004,1e-05,1e-05,0.0,0.0,0.0,0.5,0.0,0.0,0.0
