time,mass_initial,mass_remaining,mass_lost,mass_diff,error_percent,tolerance_percent,mass_loss_rp_mars,mass_loss_hydro_drag,mass_loss_surface_solid_marsRP,mass_loss_tau_clip_spill
579.2217721518988,1.084702769956984e-06,1.084702769956984e-06,0.0,0.0,0.4863201697233698,0.5,0.0,0.0,0.0,0.0
589.2083544303798,1.084702769956984e-06,1.084702769956984e-06,0.0,0.0,0.4885785467686316,0.5,0.0,0.0,0.0,0.0
599.1949367088607,1.084702769956984e-06,1.084702769956984e-06,0.0,0.0,0.4908525210233556,0.5,0.0,0.0,0.0,0.0
609.1815189873417,1.084702769956984e-06,1.084702769956984e-06,0.0,0.0,0.49314221885739623,0.5,0.0,0.0,0.0,0.0
619.1681012658228,1.084702769956984e-06,1.084702769956984e-06,0.0,0.0,0.4954477675891576,0.5,0.0,0.0,0.0,0.0
629.1546835443038,1.084702769956984e-06,1.084702769956984e-06,0.0,0.0,0.4977692954868619,0.5,0.0,0.0,0.0,0.0
639.1412658227848,1.084702769956984e-06,1.0818744658247526e-06,2.8283041322313745e-09,-3.3914405114674135e-23,0.25006190503495834,0.5,2.8283041322313745e-09,0.0,2.8283041322313745e-09,0.0
649.1278481012658,1.084702769956984e-06,1.0818744658247526e-06,2.8283041322313745e-09,-3.3914405114674135e-23,0.2506510077986911,0.5,2.8283041322313745e-09,0.0,2.8283041322313745e-09,0.0
659.1144303797469,1.084702769956984e-06,1.0818744658247526e-06,2.8283041322313745e-09,-3.3914405114674135e-23,0.25124216276171346,0.5,2.8283041322313745e-09,0.0,2.8283041322313745e-09,0.0
669.1010126582279,1.084702769956984e-06,1.0818744658247526e-06,2.8283041322313745e-09,-3.3914405114674135e-23,0.251835378239589,0.5,2.8283041322313745e-09,0.0,2.8283041322313745e-09,0.0
679.0875949367089,1.084702769956984e-06,1.0818744658247526e-06,2.8283041322313745e-09,-3.3914405114674135e-23,0.25243066257837216,0.5,2.8283041322313745e-09,0.0,2.8283041322313745e-09,0.0
689.0741772151899,1.084702769956984e-06,1.0818744658247526e-06,2.8283041322313745e-09,-3.3914405114674135e-23,0.25302802415448167,0.5,2.8283041322313745e-09,0.0,2.8283041322313745e-09,0.0
699.060759493671,1.084702769956984e-06,1.0818744658247526e-06,2.8283041322313745e-09,-3.3914405114674135e-23,0.2536274713748839,0.5,2.8283041322313745e-09,0.0,2.8283041322313745e-09,0.0
709.0473417721519,1.084702769956984e-06,1.0818744658247526e-06,2.8283041322313745e-09,-3.3914405114674135e-23,0.25422901267683906,0.5,2.8283041322313745e-09,0.0,2.8283041322313745e-09,0.0
719.0339240506329,1.084702769956984e-06,1.0818744658247526e-06,2.8283041322313745e-09,-3.3914405114674135e-23,0.2548326565281264,0.5,2.8283041322313745e-09,0.0,2.8283041322313745e-09,0.0
729.0205063291139,1.084702769956984e-06,1.0818744658247526e-06,2.8283041322313745e-09,-3.3914405114674135e-23,0.2554384114268897,0.5,2.8283041322313745e-09,0.0,2.8283041322313745e-09,0.0
739.0070886075949,1.084702769956984e-06,1.0818744658247526e-06,2.8283041322313745e-09,-3.3914405114674135e-23,0.25604628590172174,0.5,2.8283041322313745e-09,0.0,2.8283041322313745e-09,0.0
748.993670886076,1.084702769956984e-06,1.0818744658247526e-06,2.8283041322313745e-09,-3.3914405114674135e-23,0.25665628851155087,0.5,2.8283041322313745e-09,0.0,2.8283041322313745e-09,0.0
758.980253164557,1.084702769956984e-06,1.0818744658247526e-06,2.8283041322313745e-09,-3.3914405114674135e-23,0.2572684278457407,0.5,2.8283041322313745e-09,0.0,2.8283041322313745e-09,0.0
768.966835443038,1.084702769956984e-06,1.0818744658247526e-06,2.8283041322313745e-09,-3.3914405114674135e-23,0.2578827125239488,0.5,2.8283041322313745e-09,0.0,2.8283041322313745e-09,0.0
778.953417721519,1.084702769956984e-06,1.0818744658247526e-06,2.8283041322313745e-09,-3.3914405114674135e-23,0.2584991511962386,0.5,2.8283041322313745e-09,0.0,2.8283041322313745e-09,0.0
788.94,1.084702769956984e-06,1.0818744658247526e-06,2.8283041322313745e-09,-3.3914405114674135e-23,0.25911775254286945,0.5,2.8283041322313745e-09,0.0,2.8283041322313745e-09,0.0
798.9265822784811,1.084702769956984e-06,1.0818744658247526e-06,2.8283041322313745e-09,-3.3914405114674135e-23,0.2597385252745351,0.5,2.8283041322313745e-09,0.0,2.8283041322313745e-09,0.0
808.913164556962,1.084702769956984e-06,1.0818744658247526e-06,2.8283041322313745e-09,-3.3914405114674135e-23,0.2603614781320118,0.5,2.8283041322313745e-09,0.0,2.8283041322313745e-09,0.0
818.899746835443,1.084702769956984e-06,1.0818744658247526e-06,2.8283041322313745e-09,-3.3914405114674135e-23,0.26098661988651095,0.5,2.8283041322313745e-09,0.0,2.8283041322313745e-09,0.0
828.886329113924,1.084702769956984e-06,1.0818744658247526e-06,2.8283041322313745e-09,-3.3914405114674135e-23,0.26161395933921316,0.5,2.8283041322313745e-09,0.0,2.8283041322313745e-09,0.0
838.8729113924051,1.084702769956984e-06,1.0818744658247526e-06,2.8283041322313745e-09,-3.3914405114674135e-23,0.2622435053215368,0.5,2.8283041322313745e-09,0.0,2.8283041322313745e-09,0.0
848.8594936708861,1.084702769956984e-06,1.0818744658247526e-06,2.8283041322313745e-09,-3.3914405114674135e-23,0.262875266695025,0.5,2.8283041322313745e-09,0.0,2.8283041322313745e-09,0.0
858.8460759493671,1.084702769956984e-06,1.0818744658247526e-06,2.8283041322313745e-09,-3.3914405114674135e-23,0.26350925235127537,0.5,2.8283041322313745e-09,0.0,2.8283041322313745e-09,0.0
868.8326582278481,1.084702769956984e-06,1.0818744658247526e-06,2.8283041322313745e-09,-3.3914405114674135e-23,0.2641454712118691,0.5,2.8283041322313745e-09,0.0,2.8283041322313745e-09,0.0
878.8192405063292,1.084702769956984e-06,1.0818744658247526e-06,2.8283041322313745e-09,-3.3914405114674135e-23,0.26478393222835717,0.5,2.8283041322313745e-09,0.0,2.8283041322313745e-09,0.0
888.8058227848102,1.084702769956984e-06,1.0818744658247526e-06,2.8283041322313745e-09,-3.3914405114674135e-23,0.26542464438223246,0.5,2.8283041322313745e-09,0.0,2.8283041322313745e-09,0.0
898.7924050632912,1.084702769956984e-06,1.0818744658247526e-06,2.8283041322313745e-09,-3.3914405114674135e-23,0.2660676166848024,0.5,2.8283041322313745e-09,0.0,2.8283041322313745e-09,0.0
908.7789873417722,1.084702769956984e-06,1.0818744658247526e-06,2.8283041322313745e-09,-3.3914405114674135e-23,0.2667128581772174,0.5,2.8283041322313745e-09,0.0,2.8283041322313745e-09,0.0
918.7655696202531,1.084702769956984e-06,1.0818744658247526e-06,2.8283041322313745e-09,-3.3914405114674135e-23,0.2673603779302173,0.5,2.8283041322313745e-09,0.0,2.8283041322313745e-09,0.0
928.7521518987342,1.084702769956984e-06,1.0818744658247526e-06,2.8283041322313745e-09,-3.3914405114674135e-23,0.268010185044427,0.5,2.8283041322313745e-09,0.0,2.8283041322313745e-09,0.0
938.7387341772152,1.084702769956984e-06,1.0818744658247526e-06,2.8283041322313745e-09,-3.3914405114674135e-23,0.26866228864989183,0.5,2.8283041322313745e-09,0.0,2.8283041322313745e-09,0.0
948.7253164556962,1.084702769956984e-06,1.0818744658247526e-06,2.8283041322313745e-09,-3.3914405114674135e-23,0.26931669790617596,0.5,2.8283041322313745e-09,0.0,2.8283041322313745e-09,0.0
958.7118987341772,1.084702769956984e-06,1.0818744658247526e-06,2.8283041322313745e-09,-3.3914405114674135e-23,0.26997342200234836,0.5,2.8283041322313745e-09,0.0,2.8283041322313745e-09,0.0
968.6984810126582,1.084702769956984e-06,1.0818744658247526e-06,2.8283041322313745e-09,-3.3914405114674135e-23,0.27063247015685604,0.5,2.8283041322313745e-09,0.0,2.8283041322313745e-09,0.0
978.6850632911393,1.084702769956984e-06,1.0818744658247526e-06,2.8283041322313745e-09,-3.3914405114674135e-23,0.27129385161729846,0.5,2.8283041322313745e-09,0.0,2.8283041322313745e-09,0.0
988.6716455696203,1.084702769956984e-06,1.0818744658247526e-06,2.8283041322313745e-09,-3.3914405114674135e-23,0.27195757566056855,0.5,2.8283041322313745e-09,0.0,2.8283041322313745e-09,0.0
998.6582278481013,1.084702769956984e-06,1.0818744658247526e-06,2.8283041322313745e-09,-3.3914405114674135e-23,0.27262365159259905,0.5,2.8283041322313745e-09,0.0,2.8283041322313745e-09,0.0
1008.6448101265823,1.084702769956984e-06,1.0818744658247526e-06,2.8283041322313745e-09,-3.3914405114674135e-23,0.2732920887483064,0.5,2.8283041322313745e-09,0.0,2.8283041322313745e-09,0.0
1018.6313924050634,1.084702769956984e-06,1.0818744658247526e-06,2.8283041322313745e-09,-3.3914405114674135e-23,0.27396289649154787,0.5,2.8283041322313745e-09,0.0,2.8283041322313745e-09,0.0
1028.6179746835442,1.084702769956984e-06,1.0818744658247526e-06,2.8283041322313745e-09,-3.3914405114674135e-23,0.2746360842149108,0.5,2.8283041322313745e-09,0.0,2.8283041322313745e-09,0.0
1038.6045569620253,1.084702769956984e-06,1.0818744658247526e-06,2.8283041322313745e-09,-3.3914405114674135e-23,0.2753116613397265,0.5,2.8283041322313745e-09,0.0,2.8283041322313745e-09,0.0
1048.5911392405062,1.084702769956984e-06,1.0818744658247526e-06,2.8283041322313745e-09,-3.3914405114674135e-23,0.27598963731578824,0.5,2.8283041322313745e-09,0.0,2.8283041322313745e-09,0.0
1058.5777215189873,1.084702769956984e-06,1.0818744658247526e-06,2.8283041322313745e-09,-3.3914405114674135e-23,0.27667002162145005,0.5,2.8283041322313745e-09,0.0,2.8283041322313745e-09,0.0
1068.5643037974683,1.084702769956984e-06,1.0818744658247526e-06,2.8283041322313745e-09,-3.3914405114674135e-23,0.27735282376326065,0.5,2.8283041322313745e-09,0.0,2.8283041322313745e-09,0.0
1078.5508860759492,1.084702769956984e-06,1.0818744658247526e-06,2.8283041322313745e-09,-3.3914405114674135e-23,0.2780380532761599,0.5,2.8283041322313745e-09,0.0,2.8283041322313745e-09,0.0
1088.5374683544303,1.084702769956984e-06,1.0818744658247526e-06,2.8283041322313745e-09,-3.3914405114674135e-23,0.27872571972291643,0.5,2.8283041322313745e-09,0.0,2.8283041322313745e-09,0.0
1098.5240506329112,1.084702769956984e-06,1.0818744658247526e-06,2.8283041322313745e-09,-3.3914405114674135e-23,0.2794158326944506,0.5,2.8283041322313745e-09,0.0,2.8283041322313745e-09,0.0
1108.5106329113923,1.084702769956984e-06,1.0818744658247526e-06,2.8283041322313745e-09,-3.3914405114674135e-23,0.28010840180935587,0.5,2.8283041322313745e-09,0.0,2.8283041322313745e-09,0.0
1118.4972151898733,1.084702769956984e-06,1.0818744658247526e-06,2.8283041322313745e-09,-3.3914405114674135e-23,0.2808034367138986,0.5,2.8283041322313745e-09,0.0,2.8283041322313745e-09,0.0
1128.4837974683544,1.084702769956984e-06,1.0818744658247526e-06,2.8283041322313745e-09,-3.3914405114674135e-23,0.28150094708190626,0.5,2.8283041322313745e-09,0.0,2.8283041322313745e-09,0.0
1138.4703797468353,1.084702769956984e-06,1.0818744658247526e-06,2.8283041322313745e-09,-3.3914405114674135e-23,0.28220094261438516,0.5,2.8283041322313745e-09,0.0,2.8283041322313745e-09,0.0
1148.4569620253164,1.084702769956984e-06,1.0818744658247526e-06,2.8283041322313745e-09,-3.3914405114674135e-23,0.2829034330397337,0.5,2.8283041322313745e-09,0.0,2.8283041322313745e-09,0.0
1158.4435443037974,1.084702769956984e-06,1.0818744658247526e-06,2.8283041322313745e-09,-3.3914405114674135e-23,0.28360842811324816,0.5,2.8283041322313745e-09,0.0,2.8283041322313745e-09,0.0
1168.4301265822785,1.084702769956984e-06,1.0818744658247526e-06,2.8283041322313745e-09,-3.3914405114674135e-23,0.2843159376171793,0.5,2.8283041322313745e-09,0.0,2.8283041322313745e-09,0.0
1178.4167088607594,1.084702769956984e-06,1.0818744658247526e-06,2.8283041322313745e-09,-3.3914405114674135e-23,0.2850259713603237,0.5,2.8283041322313745e-09,0.0,2.8283041322313745e-09,0.0
1188.4032911392403,1.084702769956984e-06,1.0818744658247526e-06,2.8283041322313745e-09,-3.3914405114674135e-23,0.2857385391781083,0.5,2.8283041322313745e-09,0.0,2.8283041322313745e-09,0.0
1198.3898734177214,1.084702769956984e-06,1.0818744658247526e-06,2.8283041322313745e-09,-3.3914405114674135e-23,0.28645365093218195,0.5,2.8283041322313745e-09,0.0,2.8283041322313745e-09,0.0
1208.3764556962024,1.084702769956984e-06,1.0818744658247526e-06,2.8283041322313745e-09,-3.3914405114674135e-23,0.2871713165104155,0.5,2.8283041322313745e-09,0.0,2.8283041322313745e-09,0.0
1218.3630379746835,1.084702769956984e-06,1.0818744658247526e-06,2.8283041322313745e-09,-3.3914405114674135e-23,0.28789154582656296,0.5,2.8283041322313745e-09,0.0,2.8283041322313745e-09,0.0
1228.3496202531644,1.084702769956984e-06,1.0818744658247526e-06,2.8283041322313745e-09,-3.3914405114674135e-23,0.28861434882010706,0.5,2.8283041322313745e-09,0.0,2.8283041322313745e-09,0.0
1238.3362025316455,1.084702769956984e-06,1.0818744658247526e-06,2.8283041322313745e-09,-3.3914405114674135e-23,0.28933973545604835,0.5,2.8283041322313745e-09,0.0,2.8283041322313745e-09,0.0
1248.3227848101264,1.084702769956984e-06,1.0818744658247526e-06,2.8283041322313745e-09,-3.3914405114674135e-23,0.2900677157247631,0.5,2.8283041322313745e-09,0.0,2.8283041322313745e-09,0.0
1258.3093670886076,1.084702769956984e-06,1.0818744658247526e-06,2.8283041322313745e-09,-3.3914405114674135e-23,0.29079829964170845,0.5,2.8283041322313745e-09,0.0,2.8283041322313745e-09,0.0
