r_over_Rmars,t_to_Tglass_yr,t_to_Tliquidus_yr
1.313712,0.000000,0.000000
1.318395,0.000000,0.000000
1.323077,0.000000,0.000000
1.327759,0.000000,0.000000
1.332441,0.000000,0.000000
1.337124,0.000000,0.000000
1.341806,0.000000,0.000000
1.346488,0.000000,0.000000
1.351171,0.000000,0.000000
1.355853,0.000000,0.000000
1.360535,0.000000,0.000000
1.365217,0.000000,0.000000
1.369900,0.000000,0.000000
1.374582,0.000000,0.000000
1.379264,0.000000,0.000000
1.383946,0.000000,0.000000
1.388629,0.000000,0.000000
1.393311,0.000000,0.000000
1.397993,0.000000,0.000000
1.402676,0.000000,0.000000
1.407358,0.000000,0.000000
1.412040,0.000000,0.000000
1.416722,0.000000,0.000000
1.421405,0.000000,0.000000
1.426087,0.000000,0.000000
1.430769,0.000000,0.000000
1.435452,0.000000,0.000000
1.440134,0.000000,0.000000
1.444816,0.000000,0.000000
1.449498,0.000000,0.000000
1.454181,0.000000,0.000000
1.458863,0.000000,0.000000
1.463545,0.000000,0.000000
1.468227,0.000000,0.000000
1.472910,0.000000,0.000000
1.477592,0.000000,0.000000
1.482274,0.000000,0.000000
1.486957,0.000000,0.000000
1.491639,0.000000,0.000000
1.496321,0.000000,0.000000
1.501003,0.000000,0.000000
1.505686,0.000000,0.000000
1.510368,0.000000,0.000000
1.515050,0.000000,0.000000
1.519732,0.000000,0.000000
1.524415,0.000000,0.000000
1.529097,0.000000,0.000000
1.533779,0.000000,0.000000
1.538462,0.000000,0.000000
1.543144,0.000000,0.000000
1.547826,0.000000,0.000000
1.552508,0.000000,0.000000
1.557191,0.000000,0.000000
1.561873,0.000000,0.000000
1.566555,0.000000,0.000000
1.571237,0.000000,0.000000
1.575920,0.000000,0.000000
1.580602,0.000000,0.000000
1.585284,0.000000,0.000000
1.589967,0.000000,0.000000
1.594649,0.000000,0.000000
1.599331,0.000000,0.000000
1.604013,0.000000,0.000000
1.608696,0.000000,0.000000
1.613378,0.000000,0.000000
1.618060,0.000000,0.000000
1.622742,0.000000,0.000000
1.627425,0.000000,0.000000
1.632107,0.000000,0.000000
1.636789,0.000000,0.000000
1.641472,0.000000,0.000000
1.646154,0.000000,0.000000
1.650836,0.000000,0.000000
1.655518,0.000000,0.000000
1.660201,0.000000,0.000000
1.664883,0.000000,0.000000
1.669565,0.000000,0.000000
1.674247,0.000000,0.000000
1.678930,0.000000,0.000000
1.683612,0.000000,0.000000
1.688294,0.000000,0.000000
1.692977,0.000000,0.000000
1.697659,0.000000,0.000000
1.702341,0.000000,0.000000
1.707023,0.000000,0.000000
1.711706,0.000000,0.000000
1.716388,0.000000,0.000000
1.721070,0.000000,0.000000
1.725753,0.000000,0.000000
1.730435,0.000000,0.000000
1.735117,0.000000,0.000000
1.739799,0.000000,0.000000
1.744482,0.000000,0.000000
1.749164,0.000000,0.000000
1.753846,0.000000,0.000000
1.758528,0.000000,0.000000
1.763211,0.000000,0.000000
1.767893,0.000000,0.000000
1.772575,0.000000,0.000000
1.777258,0.000000,0.000000
1.781940,0.000000,0.000000
1.786622,0.000000,0.000000
1.791304,0.000000,0.000000
1.795987,0.000000,0.000000
1.800669,0.000000,0.000000
1.805351,0.000000,0.000000
1.810033,0.000000,0.000000
1.814716,0.000000,0.000000
1.819398,0.000000,0.000000
1.824080,0.000000,0.000000
1.828763,0.000000,0.000000
1.833445,0.000000,0.000000
1.838127,0.000000,0.000000
1.842809,0.000000,0.000000
1.847492,0.000000,0.000000
1.852174,0.000000,0.000000
1.856856,0.000000,0.000000
1.861538,0.000000,0.000000
1.866221,0.000000,0.000000
1.870903,0.000000,0.000000
1.875585,0.000000,0.000000
1.880268,0.000000,0.000000
1.884950,0.000000,0.000000
1.889632,0.000000,0.000000
1.894314,0.000000,0.000000
1.898997,0.000000,0.000000
1.903679,0.000000,0.000000
1.908361,0.000000,0.000000
1.913043,0.000000,0.000000
1.917726,0.000000,0.000000
1.922408,0.000000,0.000000
1.927090,0.000000,0.000000
1.931773,0.000000,0.000000
1.936455,0.000000,0.000000
1.941137,0.000000,0.000000
1.945819,0.000000,0.000000
1.950502,0.000000,0.000000
1.955184,0.000000,0.000000
1.959866,0.000000,0.000000
1.964548,0.000000,0.000000
1.969231,0.000000,0.000000
1.973913,0.000000,0.000000
1.978595,0.000000,0.000000
1.983278,0.000000,0.000000
1.987960,0.000000,0.000000
1.992642,0.000000,0.000000
